dataset,seq_len,pred_len,model,norm,alpha,seed,MSE,MAE,RMSE,MAPE,MSPE,dish_init,scaled,prior,features,timestamp
ECL,168,168,Autoformer,dishts,0.0,2024,7560847.5,301.1876,2749.7,152037570.0,2.7737514e+20,avg,False,paper-phi-only,M,20260616_095711
ECL,168,168,Autoformer,dishts,0.0,2025,7573724.0,310.00992,2752.04,144758480.0,2.8355872e+20,avg,False,paper-phi-only,M,20260616_100319
ECL,168,168,Autoformer,dishts,0.25,2023,7235693.5,290.06064,2689.9246,157704080.0,2.8317027e+20,avg,False,paper-phi-only,M,20260616_100924
ECL,168,168,Autoformer,dishts,0.25,2024,8389939.0,308.82297,2896.5393,151001060.0,2.794783e+20,avg,False,paper-phi-only,M,20260616_101406
ECL,168,168,Autoformer,dishts,0.25,2025,7788720.5,325.50836,2790.828,153459280.0,2.8014035e+20,avg,False,paper-phi-only,M,20260616_101932
ECL,168,168,Autoformer,dishts,0.5,2023,7801732.5,300.825,2793.158,157536050.0,2.8628846e+20,avg,False,paper-phi-only,M,20260616_102744
ECL,168,168,Autoformer,dishts,0.5,2024,8925932.0,327.47287,2987.6296,152286140.0,2.878586e+20,avg,False,paper-phi-only,M,20260616_103146
ECL,168,168,Autoformer,dishts,0.5,2025,7705932.5,327.4554,2775.956,149664700.0,2.7359477e+20,avg,False,paper-phi-only,M,20260616_103709
ECL,168,168,Autoformer,dishts,0.75,2023,6793644.0,281.78067,2606.462,143360050.0,2.7800689e+20,avg,False,paper-phi-only,M,20260616_104840
ECL,168,168,Autoformer,dishts,0.75,2024,8366730.0,321.3651,2892.53,154158660.0,2.8958735e+20,avg,False,paper-phi-only,M,20260616_105237
ECL,168,168,Autoformer,dishts,0.75,2025,7262744.0,308.93756,2694.9478,157615650.0,3.009925e+20,avg,False,paper-phi-only,M,20260616_110127
ECL,168,168,Autoformer,dishts,1.0,2023,7721452.0,312.71286,2778.7505,147870780.0,2.9765416e+20,avg,False,paper-phi-only,M,20260616_110654
ECL,168,168,Autoformer,dishts,1.0,2024,9736201.0,330.80313,3120.2886,154023020.0,2.9314298e+20,avg,False,paper-phi-only,M,20260616_111053
ECL,168,168,Autoformer,dishts,1.0,2025,8473317.0,342.1747,2910.8962,154549740.0,2.8308869e+20,avg,False,paper-phi-only,M,20260616_111454
ECL,336,336,Autoformer,dishts,0.0,2023,11824423.0,365.92844,3438.666,112716250.0,1.5422938e+20,avg,False,paper-phi-only,M,20260616_112154
ECL,336,336,Autoformer,dishts,0.0,2024,7640610.0,322.03287,2764.1655,111312490.0,1.4526328e+20,avg,False,paper-phi-only,M,20260616_113400
ECL,336,336,Autoformer,dishts,0.0,2025,12552744.0,372.46396,3542.9854,120181720.0,1.5575926e+20,avg,False,paper-phi-only,M,20260616_114214
ECL,336,336,Autoformer,dishts,0.25,2023,8958449.0,352.17422,2993.067,114006130.0,1.519519e+20,avg,False,paper-phi-only,M,20260616_115530
ECL,336,336,Autoformer,dishts,0.25,2024,9850510.0,352.6211,3138.5522,116583490.0,1.4862475e+20,avg,False,paper-phi-only,M,20260616_120848
ECL,336,336,Autoformer,dishts,0.25,2025,9870706.0,357.1096,3141.768,110990560.0,1.5737561e+20,avg,False,paper-phi-only,M,20260616_121548
ECL,336,336,Autoformer,dishts,0.5,2023,11826322.0,373.70505,3438.9417,115718430.0,1.6021475e+20,avg,False,paper-phi-only,M,20260616_122358
ECL,336,336,Autoformer,dishts,0.5,2024,10751691.0,348.03256,3278.977,109422610.0,1.5150406e+20,avg,False,paper-phi-only,M,20260616_123057
ECL,336,336,Autoformer,dishts,0.5,2025,8253571.5,331.6585,2872.903,103847500.0,1.480322e+20,avg,False,paper-phi-only,M,20260616_124303
